Description	
Number of Runs	400
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
323	750	2	5	02/27/24 11:50:38 AM	
324	750	3	5	02/27/24 11:50:43 AM	
325	750	2	5	02/27/24 11:50:48 AM	
326	750	4	5	02/27/24 11:50:53 AM	
327	750	4	5	02/27/24 11:50:58 AM	
328	750	1	5	02/27/24 11:51:04 AM	
329	750	2	5	02/27/24 11:51:09 AM	
330	750	7	5	02/27/24 11:51:14 AM	
331	750	1	5	02/27/24 11:51:19 AM	
332	750	5	5	02/27/24 11:51:24 AM	
333	750	4	5	02/27/24 11:51:29 AM	
334	750	3	5	02/27/24 11:51:34 AM	
335	750	4	5	02/27/24 11:51:40 AM	
336	750	3	5	02/27/24 11:51:45 AM	
337	750	3	5	02/27/24 11:51:50 AM	
338	750	3	5	02/27/24 11:51:55 AM	
339	750	2	5	02/27/24 11:52:00 AM	
340	750	2	5	02/27/24 11:52:05 AM	
341	750	5	5	02/27/24 11:52:11 AM	
342	750	7	5	02/27/24 11:52:16 AM	
343	750	3	5	02/27/24 11:52:21 AM	
344	750	4	5	02/27/24 11:52:26 AM	
345	750	3	5	02/27/24 11:52:31 AM	
346	750	3	5	02/27/24 11:52:37 AM	
347	750	4	5	02/27/24 11:52:42 AM	
348	750	4	5	02/27/24 11:52:47 AM	
349	750	0	5	02/27/24 11:52:52 AM	
350	750	4	5	02/27/24 11:52:57 AM	
351	750	6	5	02/27/24 11:53:02 AM	
352	750	3	5	02/27/24 11:53:08 AM	
353	750	2	5	02/27/24 11:53:13 AM	
354	750	4	5	02/27/24 11:53:18 AM	
355	750	1	5	02/27/24 11:53:23 AM	
356	750	3	5	02/27/24 11:53:28 AM	
357	750	4	5	02/27/24 11:53:33 AM	
358	750	1	5	02/27/24 11:53:39 AM	
359	750	4	5	02/27/24 11:53:44 AM	
360	750	7	5	02/27/24 11:53:49 AM	
361	750	4	5	02/27/24 11:53:54 AM	
362	750	2	5	02/27/24 11:53:59 AM	
363	750	5	5	02/27/24 11:54:04 AM	
364	750	2	5	02/27/24 11:54:10 AM	
365	750	2	5	02/27/24 11:54:15 AM	
366	750	2	5	02/27/24 11:54:20 AM	
367	750	2	5	02/27/24 11:54:25 AM	
368	750	2	5	02/27/24 11:54:30 AM	
369	750	1	5	02/27/24 11:54:35 AM	
370	750	1	5	02/27/24 11:54:41 AM	
371	750	4	5	02/27/24 11:54:46 AM	
372	750	1	5	02/27/24 11:54:51 AM	
373	750	5	5	02/27/24 11:54:56 AM	
374	750	5	5	02/27/24 11:55:01 AM	
375	750	5	5	02/27/24 11:55:06 AM	
376	750	3	5	02/27/24 11:55:11 AM	
377	750	2	5	02/27/24 11:55:17 AM	
378	750	2	5	02/27/24 11:55:22 AM	
379	750	2	5	02/27/24 11:55:27 AM	
380	750	3	5	02/27/24 11:55:32 AM	
381	750	3	5	02/27/24 11:55:37 AM	
382	750	2	5	02/27/24 11:55:42 AM	
383	750	3	5	02/27/24 11:55:48 AM	
