Description	
Number of Runs	400
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	750
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
336	750	187	5	02/27/24 01:04:05 PM	
337	750	199	5	02/27/24 01:04:10 PM	
338	750	200	5	02/27/24 01:04:15 PM	
339	750	189	5	02/27/24 01:04:21 PM	
340	750	204	5	02/27/24 01:04:26 PM	
341	750	193	5	02/27/24 01:04:31 PM	
342	750	187	5	02/27/24 01:04:36 PM	
343	750	193	5	02/27/24 01:04:41 PM	
344	750	203	5	02/27/24 01:04:46 PM	
345	750	180	5	02/27/24 01:04:52 PM	
346	750	197	5	02/27/24 01:04:57 PM	
347	750	185	5	02/27/24 01:05:02 PM	
348	750	170	5	02/27/24 01:05:07 PM	
349	750	183	5	02/27/24 01:05:12 PM	
350	750	169	5	02/27/24 01:05:17 PM	
351	750	190	5	02/27/24 01:05:22 PM	
352	750	205	5	02/27/24 01:05:28 PM	
353	750	211	5	02/27/24 01:05:33 PM	
354	750	196	5	02/27/24 01:05:38 PM	
355	750	178	5	02/27/24 01:05:43 PM	
356	750	192	5	02/27/24 01:05:48 PM	
357	750	192	5	02/27/24 01:05:53 PM	
358	750	200	5	02/27/24 01:05:59 PM	
359	750	190	5	02/27/24 01:06:04 PM	
360	750	173	5	02/27/24 01:06:09 PM	
361	750	213	5	02/27/24 01:06:14 PM	
362	750	205	5	02/27/24 01:06:19 PM	
363	750	210	5	02/27/24 01:06:24 PM	
364	750	201	5	02/27/24 01:06:30 PM	
365	750	242	5	02/27/24 01:06:35 PM	
366	750	191	5	02/27/24 01:06:40 PM	
367	750	210	5	02/27/24 01:06:45 PM	
368	750	188	5	02/27/24 01:06:50 PM	
369	750	197	5	02/27/24 01:06:55 PM	
370	750	213	5	02/27/24 01:07:00 PM	
371	750	180	5	02/27/24 01:07:06 PM	
372	750	227	5	02/27/24 01:07:11 PM	
373	750	197	5	02/27/24 01:07:16 PM	
374	750	180	5	02/27/24 01:07:21 PM	
375	750	191	5	02/27/24 01:07:26 PM	
376	750	207	5	02/27/24 01:07:31 PM	
377	750	201	5	02/27/24 01:07:37 PM	
378	750	192	5	02/27/24 01:07:42 PM	
379	750	173	5	02/27/24 01:07:47 PM	
380	750	200	5	02/27/24 01:07:52 PM	
381	750	192	5	02/27/24 01:07:57 PM	
382	750	202	5	02/27/24 01:08:02 PM	
383	750	181	5	02/27/24 01:08:07 PM	
384	750	192	5	02/27/24 01:08:13 PM	
385	750	185	5	02/27/24 01:08:18 PM	
386	750	210	5	02/27/24 01:08:23 PM	
387	750	183	5	02/27/24 01:08:28 PM	
388	750	176	5	02/27/24 01:08:33 PM	
389	750	196	5	02/27/24 01:08:38 PM	
390	750	199	5	02/27/24 01:08:44 PM	
391	750	183	5	02/27/24 01:08:49 PM	
392	750	203	5	02/27/24 01:08:54 PM	
393	750	192	5	02/27/24 01:08:59 PM	
394	750	198	5	02/27/24 01:09:04 PM	
395	750	201	5	02/27/24 01:09:09 PM	
396	750	159	5	02/27/24 01:09:15 PM	
397	750	185	5	02/27/24 01:09:20 PM	
398	750	188	5	02/27/24 01:09:25 PM	
399	750	188	5	02/27/24 01:09:30 PM	
400	750	181	5	02/27/24 01:09:35 PM	
